"","intercept","beta_1","rss","rank"
"12283",25.5,-7.55,1527714.89310175,12132
"12284",26,-7.55,1524449.59990539,12119
"12285",26.5,-7.55,1521189.30670903,12107
"12286",27,-7.55,1517934.01351268,12095
"12287",27.5,-7.55,1514683.72031632,12082
"12288",28,-7.55,1511438.42711996,12070
"12289",28.5,-7.55,1508198.13392361,12058
"12290",29,-7.55,1504962.84072725,12045
"12291",29.5,-7.55,1501732.54753089,12032
"12292",30,-7.55,1498507.25433454,12019
"12293",30.5,-7.55,1495286.96113818,12006
"12294",31,-7.55,1492071.66794182,11994
"12295",31.5,-7.55,1488861.37474547,11982
"12296",32,-7.55,1485656.08154911,11968
"12297",32.5,-7.55,1482455.78835275,11955
"12298",33,-7.55,1479260.4951564,11942
"12299",33.5,-7.55,1476070.20196004,11929
"12300",34,-7.55,1472884.90876368,11917
"12301",34.5,-7.55,1469704.61556733,11907
"12302",35,-7.55,1466529.32237097,11895
"12303",35.5,-7.55,1463359.02917461,11882
"12304",36,-7.55,1460193.73597826,11869
"12305",36.5,-7.55,1457033.4427819,11856
"12306",37,-7.55,1453878.14958554,11843
"12307",37.5,-7.55,1450727.85638919,11831
"12308",38,-7.55,1447582.56319283,11819
"12309",38.5,-7.55,1444442.26999647,11807
"12310",39,-7.55,1441306.97680012,11794
"12311",39.5,-7.55,1438176.68360376,11781
"12312",40,-7.55,1435051.3904074,11768
"12313",0,-7.6,1723153.6361612,12863
"12314",0.5,-7.6,1719610.68928199,12850
"12315",1,-7.6,1716072.74240277,12835
"12316",1.5,-7.6,1712539.79552356,12822
"12317",2,-7.6,1709011.84864435,12809
"12318",2.5,-7.6,1705488.90176514,12796
"12319",3,-7.6,1701970.95488592,12784
"12320",3.5,-7.6,1698458.00800671,12771
"12321",4,-7.6,1694950.0611275,12758
"12322",4.5,-7.6,1691447.11424829,12745
"12323",5,-7.6,1687949.16736907,12732
"12324",5.5,-7.6,1684456.22048986,12720
"12325",6,-7.6,1680968.27361065,12708
"12326",6.5,-7.6,1677485.32673143,12695
"12327",7,-7.6,1674007.37985222,12682
"12328",7.5,-7.6,1670534.43297301,12669
"12329",8,-7.6,1667066.4860938,12656
"12330",8.5,-7.6,1663603.53921458,12644
"12331",9,-7.6,1660145.59233537,12632
"12332",9.5,-7.6,1656692.64545616,12619
"12333",10,-7.6,1653244.69857695,12606
"12334",10.5,-7.6,1649801.75169773,12592
"12335",11,-7.6,1646363.80481852,12580
"12336",11.5,-7.6,1642930.85793931,12567
"12337",12,-7.6,1639502.9110601,12555
"12338",12.5,-7.6,1636079.96418088,12542
"12339",13,-7.6,1632662.01730167,12529
"12340",13.5,-7.6,1629249.07042246,12516
"12341",14,-7.6,1625841.12354325,12503
"12342",14.5,-7.6,1622438.17666403,12490
"12343",15,-7.6,1619040.22978482,12478
"12344",15.5,-7.6,1615647.28290561,12466
"12345",16,-7.6,1612259.3360264,12453
"12346",16.5,-7.6,1608876.38914718,12440
"12347",17,-7.6,1605498.44226797,12427
"12348",17.5,-7.6,1602125.49538876,12414
"12349",18,-7.6,1598757.54850955,12402
"12350",18.5,-7.6,1595394.60163033,12390
"12351",19,-7.6,1592036.65475112,12378
"12352",19.5,-7.6,1588683.70787191,12365
"12353",20,-7.6,1585335.7609927,12352
"12354",20.5,-7.6,1581992.81411348,12339
"12355",21,-7.6,1578654.86723427,12326
"12356",21.5,-7.6,1575321.92035506,12314
"12357",22,-7.6,1571993.97347584,12302
"12358",22.5,-7.6,1568671.02659663,12289
"12359",23,-7.6,1565353.07971742,12276
"12360",23.5,-7.6,1562040.13283821,12263
"12361",24,-7.6,1558732.18595899,12250
"12362",24.5,-7.6,1555429.23907978,12238
"12363",25,-7.6,1552131.29220057,12226
"12364",25.5,-7.6,1548838.34532136,12213
"12365",26,-7.6,1545550.39844214,12200
"12366",26.5,-7.6,1542267.45156293,12189
"12367",27,-7.6,1538989.50468372,12176
"12368",27.5,-7.6,1535716.55780451,12163
"12369",28,-7.6,1532448.61092529,12151
"12370",28.5,-7.6,1529185.66404608,12139
"12371",29,-7.6,1525927.71716687,12126
"12372",29.5,-7.6,1522674.77028766,12113
"12373",30,-7.6,1519426.82340844,12100
"12374",30.5,-7.6,1516183.87652923,12087
"12375",31,-7.6,1512945.92965002,12075
"12376",31.5,-7.6,1509712.98277081,12063
"12377",32,-7.6,1506485.03589159,12050
"12378",32.5,-7.6,1503262.08901238,12036
"12379",33,-7.6,1500044.14213317,12023
"12380",33.5,-7.6,1496831.19525396,12010
"12381",34,-7.6,1493623.24837474,11998
"12382",34.5,-7.6,1490420.30149553,11988
"12383",35,-7.6,1487222.35461632,11976
"12384",35.5,-7.6,1484029.40773711,11963
"12385",36,-7.6,1480841.46085789,11950
"12386",36.5,-7.6,1477658.51397868,11937
"12387",37,-7.6,1474480.56709947,11924
"12388",37.5,-7.6,1471307.62022026,11912
"12389",38,-7.6,1468139.67334104,11900
"12390",38.5,-7.6,1464976.72646183,11888
"12391",39,-7.6,1461818.77958262,11875
"12392",39.5,-7.6,1458665.8327034,11862
"12393",40,-7.6,1455517.88582419,11849
"12394",0,-7.65,1745577.48250272,12944
"12395",0.5,-7.65,1742011.88194065,12931
"12396",1,-7.65,1738451.28137858,12916
"12397",1.5,-7.65,1734895.68081651,12903
"12398",2,-7.65,1731345.08025444,12890
"12399",2.5,-7.65,1727799.47969238,12877
"12400",3,-7.65,1724258.87913031,12865
"12401",3.5,-7.65,1720723.27856824,12852
"12402",4,-7.65,1717192.67800617,12839
"12403",4.5,-7.65,1713667.0774441,12826
"12404",5,-7.65,1710146.47688203,12813
"12405",5.5,-7.65,1706630.87631997,12801
"12406",6,-7.65,1703120.2757579,12789
"12407",6.5,-7.65,1699614.67519583,12776
"12408",7,-7.65,1696114.07463376,12763
"12409",7.5,-7.65,1692618.47407169,12750
"12410",8,-7.65,1689127.87350962,12737
"12411",8.5,-7.65,1685642.27294755,12725
"12412",9,-7.65,1682161.67238549,12713
"12413",9.5,-7.65,1678686.07182342,12700
"12414",10,-7.65,1675215.47126135,12687
"12415",10.5,-7.65,1671749.87069928,12673
"12416",11,-7.65,1668289.27013721,12661
"12417",11.5,-7.65,1664833.66957514,12648
"12418",12,-7.65,1661383.06901308,12636
"12419",12.5,-7.65,1657937.46845101,12623
"12420",13,-7.65,1654496.86788894,12610
"12421",13.5,-7.65,1651061.26732687,12597
"12422",14,-7.65,1647630.6667648,12584
"12423",14.5,-7.65,1644205.06620273,12571
"12424",15,-7.65,1640784.46564066,12559
"12425",15.5,-7.65,1637368.8650786,12547
"12426",16,-7.65,1633958.26451653,12534
"12427",16.5,-7.65,1630552.66395446,12521
"12428",17,-7.65,1627152.06339239,12508
"12429",17.5,-7.65,1623756.46283032,12495
"12430",18,-7.65,1620365.86226825,12483
"12431",18.5,-7.65,1616980.26170619,12471
"12432",19,-7.65,1613599.66114412,12459
"12433",19.5,-7.65,1610224.06058205,12446
"12434",20,-7.65,1606853.46001998,12433
"12435",20.5,-7.65,1603487.85945791,12420
"12436",21,-7.65,1600127.25889584,12407
"12437",21.5,-7.65,1596771.65833377,12395
